[LOG] 2017-01-04 0:00:04 mkdir SUCCESS
[SELL_PRICE] 2017-01-04 0:19:13 AFTER SUCCESS
[SELL_PRICE] 2017-01-04 0:19:42 AFTER SUCCESS
[SELL_PRICE] 2017-01-04 0:20:00 AFTER SUCCESS
[SELL_PRICE] 2017-01-04 0:20:18 AFTER SUCCESS
[SELL_PRICE] 2017-01-04 0:20:32 AFTER SUCCESS
[SELL_PRICE] 2017-01-04 0:20:50 AFTER SUCCESS
[SELL_PRICE] 2017-01-04 0:20:58 AFTER SUCCESS
[SELL_PRICE] 2017-01-04 0:21:06 AFTER SUCCESS
[SELL_PRICE] 2017-01-04 0:21:14 AFTER SUCCESS
[SELL_PRICE] 2017-01-04 0:21:22 AFTER SUCCESS
[SELL_PRICE] 2017-01-04 0:21:29 AFTER SUCCESS
[PUR_PRICE] 2017-01-04 9:07:04 OUTPUT SUCCESS
[PUR_PRICE] 2017-01-04 9:19:34 PRINT SUCCESS
[PUR_PRICE] 2017-01-04 9:42:55 PRINT SUCCESS
[PUR_PRICE] 2017-01-04 10:08:10 PRINT SUCCESS
[PUR_PRICE] 2017-01-04 13:45:20 OUTPUT SUCCESS
[PUR_PRICE] 2017-01-04 13:48:25 PRINT SUCCESS
[PUR_PRICE] 2017-01-04 13:52:25 PRINT SUCCESS
[PUR_PRICE] 2017-01-04 14:42:55 AFTER SUCCESS
[PUR_PRICE] 2017-01-04 14:44:30 AFTER SUCCESS
[PUR_PRICE] 2017-01-04 14:54:51 AFTER SUCCESS
[SELL_PRICE] 2017-01-04 14:58:38 OUTPUT SUCCESS
[SELL_PRICE] 2017-01-04 14:59:14 OUTPUT SUCCESS
[SELL_PRICE] 2017-01-04 14:59:21 OUTPUT SUCCESS
[SELL_PRICE] 2017-01-04 14:59:28 OUTPUT SUCCESS
[SELL_PRICE] 2017-01-04 14:59:40 OUTPUT SUCCESS
[SELL_PRICE] 2017-01-04 14:59:47 OUTPUT SUCCESS
[SELL_PRICE] 2017-01-04 14:59:54 OUTPUT SUCCESS
[SELL_PRICE] 2017-01-04 15:00:02 OUTPUT SUCCESS
[PUR_PRICE] 2017-01-04 15:56:47 AFTER SUCCESS
[PUR_PRICE] 2017-01-04 16:02:47 AFTER SUCCESS
[PUR_PRICE] 2017-01-04 16:12:18 AFTER SUCCESS
[PUR_PRICE] 2017-01-04 16:41:28 AFTER SUCCESS
[PUR_PRICE] 2017-01-04 16:41:43 AFTER SUCCESS
[PUR_PRICE] 2017-01-04 17:14:58 AFTER SUCCESS
[PUR_PRICE] 2017-01-04 17:45:19 AFTER SUCCESS
[PUR_PRICE] 2017-01-04 17:50:39 AFTER SUCCESS
[PUR_PRICE] 2017-01-04 18:00:54 AFTER SUCCESS
[PUR_PRICE] 2017-01-04 19:41:55 AFTER SUCCESS
[PUR_PRICE] 2017-01-04 19:49:25 AFTER SUCCESS
[PUR_PRICE] 2017-01-04 19:58:15 AFTER SUCCESS
[PUR_PRICE] 2017-01-04 20:10:55 AFTER SUCCESS
[PUR_PRICE] 2017-01-04 20:16:40 AFTER SUCCESS
[PUR_PRICE] 2017-01-04 20:23:51 AFTER SUCCESS
[PUR_PRICE] 2017-01-04 20:41:16 AFTER SUCCESS
